path,id,concept,slug,variant,category,severity,score,terms
templates/education/lv/log.jp.education.applicant_school.lv.toml,log.jp.education.applicant_school.lv,志願者情報,applicant_school,lv,education,high,88,志願者情報|入学志願者|applicant_school
templates/education/kv/log.jp.education.applicant_school.kv.toml,log.jp.education.applicant_school.kv,志願者情報,applicant_school,kv,education,high,90,志願者情報|入学志願者|applicant_school
templates/education/schema/log.jp.education.applicant_school.schema.toml,log.jp.education.applicant_school.schema,志願者情報,applicant_school,schema,education,high,70,志願者情報|入学志願者|applicant_school
templates/education/leak/log.jp.education.applicant_school.leak.toml,log.jp.education.applicant_school.leak,志願者情報,applicant_school,leak,education,high,80,志願者情報|入学志願者|applicant_school
templates/education/lv/log.jp.education.attendance_school.lv.toml,log.jp.education.attendance_school.lv,出欠情報,attendance_school,lv,education,medium,72,出欠情報|欠席記録|attendance_school
templates/education/kv/log.jp.education.attendance_school.kv.toml,log.jp.education.attendance_school.kv,出欠情報,attendance_school,kv,education,medium,74,出欠情報|欠席記録|attendance_school
templates/education/schema/log.jp.education.attendance_school.schema.toml,log.jp.education.attendance_school.schema,出欠情報,attendance_school,schema,education,medium,54,出欠情報|欠席記録|attendance_school
templates/education/leak/log.jp.education.attendance_school.leak.toml,log.jp.education.attendance_school.leak,出欠情報,attendance_school,leak,education,medium,64,出欠情報|欠席記録|attendance_school
templates/education/lv/log.jp.education.child_pickup_info.lv.toml,log.jp.education.child_pickup_info.lv,送迎情報,child_pickup_info,lv,education,high,88,送迎情報|お迎え情報|child_pickup_info
templates/education/kv/log.jp.education.child_pickup_info.kv.toml,log.jp.education.child_pickup_info.kv,送迎情報,child_pickup_info,kv,education,high,90,送迎情報|お迎え情報|child_pickup_info
templates/education/schema/log.jp.education.child_pickup_info.schema.toml,log.jp.education.child_pickup_info.schema,送迎情報,child_pickup_info,schema,education,high,70,送迎情報|お迎え情報|child_pickup_info
templates/education/leak/log.jp.education.child_pickup_info.leak.toml,log.jp.education.child_pickup_info.leak,送迎情報,child_pickup_info,leak,education,high,80,送迎情報|お迎え情報|child_pickup_info
templates/education/lv/log.jp.education.class_roster.lv.toml,log.jp.education.class_roster.lv,名簿,class_roster,lv,education,high,88,名簿|クラス名簿|class_roster
templates/education/kv/log.jp.education.class_roster.kv.toml,log.jp.education.class_roster.kv,名簿,class_roster,kv,education,high,90,名簿|クラス名簿|class_roster
templates/education/schema/log.jp.education.class_roster.schema.toml,log.jp.education.class_roster.schema,名簿,class_roster,schema,education,high,70,名簿|クラス名簿|class_roster
templates/education/leak/log.jp.education.class_roster.leak.toml,log.jp.education.class_roster.leak,名簿,class_roster,leak,education,high,80,名簿|クラス名簿|class_roster
templates/education/lv/log.jp.education.club_activity.lv.toml,log.jp.education.club_activity.lv,部活動情報,club_activity,lv,education,low,40,部活動情報|所属部活動|club_activity
templates/education/kv/log.jp.education.club_activity.kv.toml,log.jp.education.club_activity.kv,部活動情報,club_activity,kv,education,low,42,部活動情報|所属部活動|club_activity
templates/education/schema/log.jp.education.club_activity.schema.toml,log.jp.education.club_activity.schema,部活動情報,club_activity,schema,education,low,22,部活動情報|所属部活動|club_activity
templates/education/leak/log.jp.education.club_activity.leak.toml,log.jp.education.club_activity.leak,部活動情報,club_activity,leak,education,low,32,部活動情報|所属部活動|club_activity
templates/education/lv/log.jp.education.exam_number.lv.toml,log.jp.education.exam_number.lv,受験番号,exam_number,lv,education,medium,72,受験番号|exam_number
templates/education/kv/log.jp.education.exam_number.kv.toml,log.jp.education.exam_number.kv,受験番号,exam_number,kv,education,medium,74,受験番号|exam_number
templates/education/schema/log.jp.education.exam_number.schema.toml,log.jp.education.exam_number.schema,受験番号,exam_number,schema,education,medium,54,受験番号|exam_number
templates/education/leak/log.jp.education.exam_number.leak.toml,log.jp.education.exam_number.leak,受験番号,exam_number,leak,education,medium,64,受験番号|exam_number
templates/education/lv/log.jp.education.grades.lv.toml,log.jp.education.grades.lv,成績情報,grades,lv,education,high,88,成績情報|評定|grades
templates/education/kv/log.jp.education.grades.kv.toml,log.jp.education.grades.kv,成績情報,grades,kv,education,high,90,成績情報|評定|grades
templates/education/schema/log.jp.education.grades.schema.toml,log.jp.education.grades.schema,成績情報,grades,schema,education,high,70,成績情報|評定|grades
templates/education/leak/log.jp.education.grades.leak.toml,log.jp.education.grades.leak,成績情報,grades,leak,education,high,80,成績情報|評定|grades
templates/education/lv/log.jp.education.guardian_contact.lv.toml,log.jp.education.guardian_contact.lv,保護者連絡先,guardian_contact,lv,education,high,88,保護者連絡先|保護者電話番号|guardian_contact
templates/education/kv/log.jp.education.guardian_contact.kv.toml,log.jp.education.guardian_contact.kv,保護者連絡先,guardian_contact,kv,education,high,90,保護者連絡先|保護者電話番号|guardian_contact
templates/education/schema/log.jp.education.guardian_contact.schema.toml,log.jp.education.guardian_contact.schema,保護者連絡先,guardian_contact,schema,education,high,70,保護者連絡先|保護者電話番号|guardian_contact
templates/education/leak/log.jp.education.guardian_contact.leak.toml,log.jp.education.guardian_contact.leak,保護者連絡先,guardian_contact,leak,education,high,80,保護者連絡先|保護者電話番号|guardian_contact
templates/education/lv/log.jp.education.homeroom.lv.toml,log.jp.education.homeroom.lv,クラス・組,homeroom,lv,education,low,40,クラス|組|学級|homeroom
templates/education/kv/log.jp.education.homeroom.kv.toml,log.jp.education.homeroom.kv,クラス・組,homeroom,kv,education,low,42,クラス|組|学級|homeroom
templates/education/schema/log.jp.education.homeroom.schema.toml,log.jp.education.homeroom.schema,クラス・組,homeroom,schema,education,low,22,クラス|組|学級|homeroom
templates/education/leak/log.jp.education.homeroom.leak.toml,log.jp.education.homeroom.leak,クラス・組,homeroom,leak,education,low,32,クラス|組|学級|homeroom
templates/education/lv/log.jp.education.scholarship_account.lv.toml,log.jp.education.scholarship_account.lv,奨学金口座,scholarship_account,lv,education,high,88,奨学金口座| scholarship_account
templates/education/kv/log.jp.education.scholarship_account.kv.toml,log.jp.education.scholarship_account.kv,奨学金口座,scholarship_account,kv,education,high,90,奨学金口座| scholarship_account
templates/education/schema/log.jp.education.scholarship_account.schema.toml,log.jp.education.scholarship_account.schema,奨学金口座,scholarship_account,schema,education,high,70,奨学金口座| scholarship_account
templates/education/leak/log.jp.education.scholarship_account.leak.toml,log.jp.education.scholarship_account.leak,奨学金口座,scholarship_account,leak,education,high,80,奨学金口座| scholarship_account
templates/education/lv/log.jp.education.school_health_record.lv.toml,log.jp.education.school_health_record.lv,学校健康記録,school_health_record,lv,education,critical,95,学校健康記録|保健室記録|school_health_record
templates/education/kv/log.jp.education.school_health_record.kv.toml,log.jp.education.school_health_record.kv,学校健康記録,school_health_record,kv,education,critical,97,学校健康記録|保健室記録|school_health_record
templates/education/schema/log.jp.education.school_health_record.schema.toml,log.jp.education.school_health_record.schema,学校健康記録,school_health_record,schema,education,critical,77,学校健康記録|保健室記録|school_health_record
templates/education/leak/log.jp.education.school_health_record.leak.toml,log.jp.education.school_health_record.leak,学校健康記録,school_health_record,leak,education,critical,87,学校健康記録|保健室記録|school_health_record
templates/education/lv/log.jp.education.special_needs.lv.toml,log.jp.education.special_needs.lv,特別支援情報,special_needs,lv,education,critical,95,特別支援情報|配慮事項|special_needs
templates/education/kv/log.jp.education.special_needs.kv.toml,log.jp.education.special_needs.kv,特別支援情報,special_needs,kv,education,critical,97,特別支援情報|配慮事項|special_needs
templates/education/schema/log.jp.education.special_needs.schema.toml,log.jp.education.special_needs.schema,特別支援情報,special_needs,schema,education,critical,77,特別支援情報|配慮事項|special_needs
templates/education/leak/log.jp.education.special_needs.leak.toml,log.jp.education.special_needs.leak,特別支援情報,special_needs,leak,education,critical,87,特別支援情報|配慮事項|special_needs
templates/education/lv/log.jp.education.student_id.lv.toml,log.jp.education.student_id.lv,学籍番号,student_id,lv,education,high,88,学籍番号|学生番号|student_id
templates/education/kv/log.jp.education.student_id.kv.toml,log.jp.education.student_id.kv,学籍番号,student_id,kv,education,high,90,学籍番号|学生番号|student_id
templates/education/schema/log.jp.education.student_id.schema.toml,log.jp.education.student_id.schema,学籍番号,student_id,schema,education,high,70,学籍番号|学生番号|student_id
templates/education/leak/log.jp.education.student_id.leak.toml,log.jp.education.student_id.leak,学籍番号,student_id,leak,education,high,80,学籍番号|学生番号|student_id
templates/education/lv/log.jp.education.student_name.lv.toml,log.jp.education.student_name.lv,児童・生徒氏名,student_name,lv,education,high,88,児童氏名|生徒氏名|学生氏名|student_name
templates/education/kv/log.jp.education.student_name.kv.toml,log.jp.education.student_name.kv,児童・生徒氏名,student_name,kv,education,high,90,児童氏名|生徒氏名|学生氏名|student_name
templates/education/schema/log.jp.education.student_name.schema.toml,log.jp.education.student_name.schema,児童・生徒氏名,student_name,schema,education,high,70,児童氏名|生徒氏名|学生氏名|student_name
templates/education/leak/log.jp.education.student_name.leak.toml,log.jp.education.student_name.leak,児童・生徒氏名,student_name,leak,education,high,80,児童氏名|生徒氏名|学生氏名|student_name
templates/education/lv/log.jp.education.transcript.lv.toml,log.jp.education.transcript.lv,成績証明書,transcript,lv,education,high,88,成績証明書|単位修得証明書|transcript
templates/education/kv/log.jp.education.transcript.kv.toml,log.jp.education.transcript.kv,成績証明書,transcript,kv,education,high,90,成績証明書|単位修得証明書|transcript
templates/education/schema/log.jp.education.transcript.schema.toml,log.jp.education.transcript.schema,成績証明書,transcript,schema,education,high,70,成績証明書|単位修得証明書|transcript
templates/education/leak/log.jp.education.transcript.leak.toml,log.jp.education.transcript.leak,成績証明書,transcript,leak,education,high,80,成績証明書|単位修得証明書|transcript
templates/finance/lv/log.jp.finance.account_holder_name.lv.toml,log.jp.finance.account_holder_name.lv,口座名義,account_holder_name,lv,finance,critical,95,口座名義|口座名義人|account_holder_name
templates/finance/kv/log.jp.finance.account_holder_name.kv.toml,log.jp.finance.account_holder_name.kv,口座名義,account_holder_name,kv,finance,critical,97,口座名義|口座名義人|account_holder_name
templates/finance/schema/log.jp.finance.account_holder_name.schema.toml,log.jp.finance.account_holder_name.schema,口座名義,account_holder_name,schema,finance,critical,77,口座名義|口座名義人|account_holder_name
templates/finance/leak/log.jp.finance.account_holder_name.leak.toml,log.jp.finance.account_holder_name.leak,口座名義,account_holder_name,leak,finance,critical,87,口座名義|口座名義人|account_holder_name
templates/finance/lv/log.jp.finance.aml_watchlist_flag.lv.toml,log.jp.finance.aml_watchlist_flag.lv,AMLウォッチリスト,aml_watchlist_flag,lv,finance,high,88,AMLウォッチリスト|反社チェック|aml_watchlist_flag
